Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-11-16,SBIN,EQ,600.85,599.95,603.5,596.0,599.0,599.75,600.52,11555749,693948969390000.0,168811,4295399,0.42710000000000004
2022-11-17,SBIN,EQ,599.75,599.1,602.75,596.15,598.45,599.05,599.41,8167131,489543320145000.0,114824,2948861,0.3611
2022-11-18,SBIN,EQ,599.05,601.0,605.75,597.15,602.05,602.7,601.12,12933675,777474640445000.0,155935,5077955,0.3926
2022-11-21,SBIN,EQ,602.7,602.1,602.1,595.35,598.0,598.1,598.39,7412419,443550951455000.0,135865,2865902,0.3866
2022-11-22,SBIN,EQ,598.1,598.15,600.7,596.15,599.0,599.1,598.56,8048595,481753226345000.0,126028,3902083,0.48479999999999995
2022-11-23,SBIN,EQ,599.1,601.55,609.6,601.0,607.1,607.65,606.5,12435924,754238645750000.0,171897,5217318,0.41950000000000004
2022-11-24,SBIN,EQ,607.65,609.75,611.3,605.8,609.6,609.35,608.75,8960032,545439560445000.0,128229,3420469,0.38170000000000004
2022-11-25,SBIN,EQ,609.35,610.55,613.7,606.25,607.2,607.4,609.3,9994513,608964096550000.0,136359,4441339,0.44439999999999996
2022-11-28,SBIN,EQ,607.4,605.6,610.9,602.35,608.0,608.6,606.01,7934274,480822914985000.06,121851,3625579,0.457
2022-11-29,SBIN,EQ,608.6,607.1,611.8,607.1,608.1,608.55,609.32,6942919,423049409630000.0,121735,3138453,0.452
2022-11-30,SBIN,EQ,608.55,608.5,611.4,598.4,602.95,602.45,603.09,15606230,941201041220000.1,174362,8449322,0.5414
2022-12-01,SBIN,EQ,602.45,607.85,609.8,601.55,608.0,608.1,605.68,14209313,860627114679999.9,172004,6862086,0.4829
2022-12-02,SBIN,EQ,608.1,607.5,609.6,604.25,607.6,607.55,607.29,7533838,457525295595000.0,142901,3982578,0.5286
2022-12-05,SBIN,EQ,607.55,608.5,618.0,607.55,616.7,617.3,614.05,11585602,711416481620000.0,210728,5730406,0.49460000000000004
2022-12-06,SBIN,EQ,617.3,614.75,619.8,607.8,609.3,608.95,613.29,12996244,797050335200000.0,190699,7387969,0.5685
2022-12-07,SBIN,EQ,608.95,610.85,612.9,604.5,606.95,607.05,607.96,7613892,462890422225000.0,113416,3419765,0.4491
2022-12-08,SBIN,EQ,607.05,609.75,613.8,607.15,612.25,611.65,611.14,10020015,612360862650000.0,146277,4572184,0.45630000000000004
2022-12-09,SBIN,EQ,611.65,614.4,618.0,609.1,617.0,616.5,613.84,11202267,687643422730000.0,169991,5448182,0.4863
2022-12-12,SBIN,EQ,616.5,614.8,618.7,611.0,612.35,613.05,613.74,9285187,569864728115000.0,135955,3783456,0.40750000000000003
2022-12-13,SBIN,EQ,613.05,613.5,617.4,612.5,616.8,616.75,615.45,7455415,458840457939999.94,162670,3363135,0.4511
